date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:20:49	1878/1878	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22607d52b2-756%22	https://www.saucedemo.com/inventory.html	saucedemo/saucedemo/www.saucedemo.com/inventory.0.delayed	(from )
14:20:50	1878/1878	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22607d52b2-756%22	https://www.saucedemo.com/cart.html	saucedemo/saucedemo/www.saucedemo.com/cart.html	(from )
14:20:51	2490/2490	---M-Z	200	added ('OK')	text/html	etag:W/%22607d52b2-9ba%22	https://www.saucedemo.com/	saucedemo/saucedemo/www.saucedemo.com/index.html	(from )
14:20:51	1878/1878	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22607d52b2-756%22	https://www.saucedemo.com/checkout-step-one.html	saucedemo/saucedemo/www.saucedemo.com/checkout-step-one.2.delayed	(from )
14:20:52	1878/1878	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22607d52b2-756%22	https://www.saucedemo.com/checkout-step-two.html	saucedemo/saucedemo/www.saucedemo.com/checkout-step-two.html	(from )
14:20:53	1878/1878	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22607d52b2-756%22	https://www.saucedemo.com/checkout-complete.htm	saucedemo/saucedemo/www.saucedemo.com/checkout-complete.htm	(from )
14:20:54	67/67	---M--	200	added ('OK')	text/plain	etag:%22607d52b2-43%22	https://www.saucedemo.com/robots.txt		(from )
14:20:56	15406/15406	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22607d52b2-3c2e%22	https://www.saucedemo.com/favicon.ico	saucedemo/saucedemo/www.saucedemo.com/favicon.ico	(from https://www.saucedemo.com/)
14:20:57	14411/14411	---M--	200	added ('OK')	image/png	etag:%22607d52b2-384b%22	https://www.saucedemo.com/icon/icon-192x192.png	saucedemo/saucedemo/www.saucedemo.com/icon/icon-192x192.png	(from https://www.saucedemo.com/)
14:20:57	1897/1897	---M-Z	200	added ('OK')	application/json	etag:W/%22607d52b2-769%22	https://www.saucedemo.com/manifest.json	saucedemo/saucedemo/www.saucedemo.com/manifest.json	(from https://www.saucedemo.com/)
14:20:59	53639/53639	---M-Z	200	added ('OK')	text/css	etag:W/%22607d52b2-d187%22	https://www.saucedemo.com/static/css/main.b9d87ff6.chunk.css	saucedemo/saucedemo/www.saucedemo.com/static/css/main.b9d87ff6.chunk.css	(from https://www.saucedemo.com/)
14:21:00	445278/445278	---M-Z	200	added ('OK')	application/javascript	etag:W/%22607d52b2-6cb5e%22	https://www.saucedemo.com/static/js/2.a1a947cf.chunk.js	saucedemo/saucedemo/www.saucedemo.com/static/js/2.a1a947cf.chunk.js	(from https://www.saucedemo.com/)
14:21:00	72932/72932	---M-Z	200	added ('OK')	application/javascript	etag:W/%22607d52b2-11ce4%22	https://www.saucedemo.com/static/js/main.3db41035.chunk.js	saucedemo/saucedemo/www.saucedemo.com/static/js/main.3db41035.chunk.js	(from https://www.saucedemo.com/)
